Name,"Pub Dates",Added
DeepGAMI,"NA, 2023-10-31",2023-11-10
DeepImpute,"NA, 2019-10-18",2018-11-09
DeepKINET,NA,2023-12-01
DeepRIG,2023-09-13,2023-10-20
DeepSEM,2021-07-22,2021-08-01
DeepSort,NA,2020-05-18
DeepVelo,NA,2022-06-03
DEGAS,"NA, 2022-02-01",2020-06-26
DElegate,NA,2023-03-31
DeLorean,"2016-06-17, NA",2016-09-09
DELVE,NA,2023-05-26
deMULTIplex2,NA,2023-05-05
Demuxafy,NA,2022-03-11
Demuxalot,NA,2021-05-28
demuxlet,"2017-12-11, NA",2017-03-29
demuxmix,"2023-08-01, NA",2022-11-04
DEN,NA,2020-06-26
DENDRO,"NA, 2020-01-14",2018-11-14
DendroSplit,"NA, 2018-03-09",2018-01-19
densityCut,2016-04-23,2018-11-13
DensityPath,"2018-12-07, NA",2018-03-08
densvis,,2020-10-30
densVis,"2021-01-18, NA",2020-05-18
DepecheR,"NA, 2019-03-07",2018-11-14
DESC,"2020-05-11, NA",2019-02-01
DESCEND,"2018-06-26, NA",2017-12-20
DEsingle,"2018-04-24, NA",2018-03-15
destiny,"2015-12-14, NA",2016-09-09
DevKidCC,"NA, 2022-02-22",2021-01-22
DEWAKSS,"NA, 2021-01-07",2020-03-17
Dhaka,"2019-02-15, NA",2018-11-13
DIALOGUE,"2022-05-05, NA",2020-09-08
DICE,2022-12,2022-12-09
Dictys,"2023-08-03, NA",2022-11-04
DIEM,"2020-07-03, NA",2019-10-09
DifferentialRegulation,NA,2023-08-18
DigitalCellSorter,"NA, NA, 2019-07-01, 2021-01-13",2019-02-12
DIISCO,NA,2023-11-17
DIMMSC,"2017-08-02, NA",2018-03-15
dincta,NA,2020-10-15
Dino,"2021-06-19, NA",2020-11-08
DIRECT-NET,2022-06-03,2022-06-10
DISC,2020-07-10,2020-07-17
DIscBIO,,2020-11-22
DISCERN,"NA, 2023-09-20",2022-03-18
DISCO,,2018-03-15
DiSiR,NA,2022-04-01
distinct,"NA, 2023-06-01",2020-04-29
DistMap,"NA, 2017-08-31",2017-09-01
dittoSeq,2020-12-12,2019-03-01
dmatch,"NA, 2021-03-19",2020-01-13
Domino,"2021-08-02, NA",2020-07-31
DoubletCollection,NA,2022-10-14
DoubletDecon,"2019-11, 2020-09, NA, NA",2018-07-28
DoubletDetection,,2018-05-13
DoubletFinder,"2019-04, NA",2018-06-27
Dozer,"NA, 2023-06",2023-05-12
dpi,"2023-01-14, NA",2023-01-20
DPre,2019-10-17,2019-10-24
DPT,"2016-08-29, NA",2016-09-22
DRA,2020-02-21,2020-03-03
dragonsc,2020-01,2020-05-29
DREAM,2023-04-21,2023-05-12
dreamlet,NA,2023-03-24
DREEP,"NA, 2023-12-01",2023-10-27
DrImpute,"NA, 2018-06-08",2017-09-01
DrivAER,"2020-12-10, NA",2019-12-11
dropbead,"NA, 2017-05-19",2017-01-16
dropClust,"2019-11-06, 2018-01-18, NA, NA",2017-08-20
dropEst,"NA, 2018-06-19",2017-08-20
dropkick,"NA, 2021-04-09",2020-10-15
DropLasso,NA,2018-03-08
DropletQC,"NA, 2021-12",2021-08-08
DropletUtils,"2018-07-10, NA, NA, 2019-03-22",2018-01-19
dropSeqPipe,,2017-05-21
dropsim,,2018-01-18
DrSeq2,"NA, 2017-07-03",2017-06-26
DSAVE-M,2020-12-03,2020-12-12
DSAVE-R,2020-12-03,2020-12-12
dsb,"2022-04-19, NA",2021-03-05
dsCellNet,2022,2022-08-19
DSINMF,NA,2022-05-20
DTAE,NA,2021-02-19
DTFLOW,"2021-03, NA",2021-03-12
DTUrtle,,2021-06-18
DTWScore,2017-05-23,2017-05-30
DUBStepR,"2021-10-06, NA",2020-10-15
Dune,NA,2020-03-18
DURIAN,2022-06-22,2022-06-24
DUSC,"NA, 2020-06-12",2018-01-11
Dynamo,"2022-02, NA",2019-07-11
dynDeepDRIM,"2022-09-27, NA",2021-09-03
dyngen,"2021-06-24, NA",2020-02-20
DynGFN,NA,2023-02-17
dynverse,"2019-04-01, NA",2018-03-15
EasyCellType,2023-03-24,2022-11-04
ECLAIR,"2016-05-20, NA",2016-09-08
EDClust,2022-03-22,2022-04-01
EDGE,2020-11-17,2020-11-22
EEISP,"2021-07-22, NA",2021-03-19
elasticC3,NA,2020-04-13
ELeFHAnt,NA,2021-09-10
ELSA,2020-02-27,2020-03-12
ELVAR,"2023-06-05, NA, NA",2022-11-11
embeddr,NA,2016-09-12
EMBEDR,"2022-03, NA",2022-03-18
EMEP,2018-12-28,2019-01-06
EmptyNN,"2021-07, NA",2021-01-22
enclone,NA,2022-08-12
ENCORE,2020-12-10,2021-01-08
ENHANCE,NA,2019-11-08
EnImpute,2019-05-24,2019-05-31
EnsembleKQC,2019-07-24,2019-08-12
EnTSSR,2021,2021-09-17
Eoulsan,NA,2021-10-22
Epi-Impute,2023-03-25,2023-03-31
EPIC,"NA, 2022-06-16",2021-06-25
eQTLsingle,"2022-06, NA",2021-06-11
